# http://hp.vector.co.jp/authors/VA002116/azik/azikinfo.htm
a	あ
i	い
u	う
e	え
o	お
ka	か
ki	き
ku	く
ke	け
ko	こ
sa	さ
si	し
su	す
se	せ
so	そ
ta	た
ti	ち
tu	つ
te	て
to	と
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
wa	わ
wo	を
kz	かん
kn	かん
kk	きん
kj	くん
kd	けん
kl	こん
sz	さん
sn	さん
sk	しん
sj	すん
sd	せん
sl	そん
tz	たん
tn	たん
tk	ちん
tj	つん
td	てん
tl	とん
nz	なん
nn	ん
nk	にん
nj	ぬん
nd	ねん
nl	のん
hz	はん
hn	はん
hk	ひん
hj	ふん
hd	へん
hl	ほん
fz	ふぁん
fn	ふぁん
fk	ふぃん
fj	ふん
fd	ふぇん
fl	ふぉん
mz	まん
mk	みん
mj	むん
md	めん
ml	もん
yz	やん
yn	やん
yj	ゆん
yl	よん
rz	らん
rn	らん
rk	りん
rj	るん
rd	れん
rl	ろん
wz	わん
wn	わん
wk	うぃん
wd	うぇん
wl	うぉん
kq	かい
kh	くう
kw	けい
kp	こう
sq	さい
sh	すう
sw	せい
sp	そう
tq	たい
th	つう
tw	てい
tp	とう
nq	ない
nh	ぬう
nw	ねい
np	のう
hq	はい
hh	ふう
hw	へい
hp	ほう
fq	ふぁい
fh	ふう
fw	ふぇい
fp	ふぉー
mq	まい
mh	むう
mw	めい
mp	もう
yq	やい
yh	ゆう
yp	よう
rq	らい
rh	るう
rw	れい
rp	ろう
wq	わい
wp	うぉー
n	ん
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gz	がん
gn	がん
gk	ぎん
gj	ぐん
gd	げん
gl	ごん
gq	がい
gh	ぐう
gw	げい
gp	ごう
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
zz	ざん
zn	ざん
zk	じん
zj	ずん
zd	ぜん
zl	ぞん
zq	ざい
zh	ずう
zw	ぜい
zp	ぞう
da	だ
di	ぢ
du	づ
de	で
do	ど
dz	だん
dn	だん
dk	ぢん
dj	づん
dd	でん
dl	どん
dq	だい
dh	づう
dw	でい
dp	どう
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bz	ばん
bn	ばん
bk	びん
bj	ぶん
bd	べん
bl	ぼん
bq	ばい
bh	ぶう
bw	べい
bp	ぼう
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
pz	ぱん
pn	ぱん
pk	ぴん
pj	ぷん
pd	ぺん
pl	ぽん
pq	ぱい
ph	ぷう
pw	ぺい
pp	ぽう
zc	ざ
zv	ざい
zx	ぜい
kya	きゃ
kyu	きゅ
kye	きぇ
kyo	きょ
kyz	きゃん
kyn	きゃん
kyj	きゅん
kyd	きぇん
kyl	きょん
kyq	きゃい
kyh	きゅう
kyw	きぇい
kyp	きょう
kga	きゃ
kgu	きゅ
kge	きぇ
kgo	きょ
kgz	きゃん
kgn	きゃん
kgj	きゅん
kgd	きぇん
kgl	きょん
kgq	きゃい
kgh	きゅう
kgw	きぇい
kgp	きょう
sya	しゃ
syu	しゅ
sye	しぇ
syo	しょ
syz	しゃん
syn	しゃん
syj	しゅん
syd	しぇん
syl	しょん
syq	しゃい
syh	しゅう
syw	しぇい
syp	しょう
xa	しゃ
xu	しゅ
xe	しぇ
xo	しょ
xz	しゃん
xn	しゃん
xj	しゅん
xd	しぇん
xl	しょん
xq	しゃい
xh	しゅう
xw	しぇい
xp	しょう
tya	ちゃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
tyz	ちゃん
tyn	ちゃん
tyj	ちゅん
tyd	ちぇん
tyl	ちょん
tyq	ちゃい
tyh	ちゅう
tyw	ちぇい
typ	ちょう
ca	ちゃ
cu	ちゅ
ce	ちぇ
co	ちょ
cz	ちゃん
cn	ちゃん
cj	ちゅん
cd	ちぇん
cl	ちょん
cq	ちゃい
ch	ちゅう
cw	ちぇい
cp	ちょう
nya	にゃ
nyu	にゅ
nye	にぇ
nyo	にょ
nyz	にゃん
nyn	にゃん
nyj	にゅん
nyd	にぇん
nyl	にょん
nyq	にゃい
nyh	にゅう
nyw	にぇい
nyp	にょう
nga	にゃ
ngu	にゅ
nge	にぇ
ngo	にょ
ngz	にゃん
ngn	にゃん
ngj	にゅん
ngd	にぇん
ngl	にょん
ngq	にゃい
ngh	にゅう
ngw	にぇい
ngp	にょう
hya	ひゃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
hyz	ひゃん
hyn	ひゃん
hyj	ひゅん
hyd	ひぇん
hyl	ひょん
hyq	ひゃい
hyh	ひゅう
hyw	ひぇい
hyp	ひょう
hga	ひゃ
hgu	ひゅ
hge	ひぇ
hgo	ひょ
hgz	ひゃん
hgn	ひゃん
hgj	ひゅん
hgd	ひぇん
hgl	ひょん
hgq	ひゃい
hgh	ひゅう
hgw	ひぇい
hgp	ひょう
mya	みゃ
myu	みゅ
mye	みぇ
myo	みょ
myz	みゃん
myn	みゃん
myj	みゅん
myd	みぇん
myl	みょん
myq	みゃい
myh	みゅう
myw	みぇい
myp	みょう
mga	みゃ
mgu	みゅ
mge	みぇ
mgo	みょ
mgz	みゃん
mgn	みゃん
mgj	みゅん
mgd	みぇん
mgl	みょん
mgq	みゃい
mgh	みゅう
mgw	みぇい
mgp	みょう
rya	りゃ
ryu	りゅ
rye	りぇ
ryo	りょ
ryz	りゃん
ryn	りゃん
ryj	りゅん
ryd	りぇん
ryl	りょん
ryq	りゃい
ryh	りゅう
ryw	りぇい
ryp	りょう
gya	ぎゃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
gyz	ぎゃん
gyn	ぎゃん
gyj	ぎゅん
gyd	ぎぇん
gyl	ぎょん
gyq	ぎゃい
gyh	ぎゅう
gyw	ぎぇい
gyp	ぎょう
zya	じゃ
zyu	じゅ
zye	じぇ
zyo	じょ
zyz	じゃん
zyn	じゃん
zyj	じゅん
zyd	じぇん
zyl	じょん
zyq	じゃい
zyh	じゅう
zyw	じぇい
zyp	じょう
ja	じゃ
ju	じゅ
je	じぇ
jo	じょ
jz	じゃん
jn	じゃん
jj	じゅん
jd	じぇん
jl	じょん
jq	じゃい
jh	じゅう
jw	じぇい
jp	じょう
bya	びゃ
byu	びゅ
bye	びぇ
byo	びょ
byz	びゃん
byn	びゃん
byj	びゅん
byd	びぇん
byl	びょん
byq	びゃい
byh	びゅう
byw	びぇい
byp	びょう
pya	ぴゃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
pyz	ぴゃん
pyn	ぴゃん
pyj	ぴゅん
pyd	ぴぇん
pyl	ぴょん
pyq	ぴゃい
pyh	ぴゅう
pyw	ぴぇい
pyp	ぴょう
pga	ぴゃ
pgu	ぴゅ
pge	ぴぇ
pgo	ぴょ
pgz	ぴゃん
pgn	ぴゃん
pgj	ぴゅん
pgd	ぴぇん
pgl	ぴょん
pgq	ぴゃい
pgh	ぴゅう
pgw	ぴぇい
pgp	ぴょう
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ
tgi	てぃ
tgu	とぅ
dci	でぃ
dcu	どぅ
wi	うぃ
we	うぇ
wso	うぉ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lya	ゃ
lyu	ゅ
lyo	ょ
q	ん
-	ー
~	〜
.	。
,	、
:	ー
;	っ
kt	こと
st	した
tt	たち
ht	ひと
wt	わた
mn	もの
ms	ます
ds	です
km	かも
tm	ため
dm	でも
kr	から
sr	する
tr	たら
nr	なる
yr	よる
rr	られ
zr	ざる
mt	また
tb	たび
nb	ねば
bt	びと
gr	がら
gt	ごと
nt	にち
dt	だち
wr	われ
