# https://github.com/semialt/kawasemi/blob/master/Win_DvorakJ/%E3%81%8B%E3%82%8F%E3%81%9B%E3%81%BF%E9%85%8D%E5%88%97.txt
q		に
w		が
e		じ
r		で
t		ば
y	れ
u	よ
i	ゆ
o	や
p	を
a		の
s		か
d		し
f		と
g		は
h	え
j	お
k	う
l	い
;	あ
z	な
x		る
c		ま
v		て
b		わ
n	っ
m	ん
,	、
.	。
/	ー
のu	にょ
のi	にゅ
のo	にゃ
のh	ね
のj	の
のk	ぬ
のl	に
の;	な
のn	ねん
のm	のん
の,	ぬん
の.	にん
の/	なん
か7	くぉ
か-	くぃ
かy	くぇ
かu	きょ
かi	きゅ
かo	きゃ
かp	くぁ
かh	け
かj	こ
かk	く
かl	き
か;	か
かn	けん
かm	こん
か,	くん
か.	きん
か/	かん
し-	すぃ
しy	しぇ
しu	しょ
しi	しゅ
しo	しゃ
しh	せ
しj	そ
しk	す
しl	し
し;	さ
しn	せん
しm	そん
し,	すん
し.	しん
し/	さん
と6	つぇ
と7	つぉ
と8	とぅ
と9	てぃ
とy	ちぇ
とu	ちょ
とi	ちゅ
とo	ちゃ
とp	つぁ
とh	て
とj	と
とk	つ
とl	ち
と;	た
とn	てん
とm	とん
と,	つん
と.	ちん
と/	たん
は7	ふぉ
は8	ふゅ
は9	ふぃ
はy	ふぇ
はu	ひょ
はi	ひゅ
はo	ひゃ
はp	ふぁ
はh	へ
はj	ほ
はk	ふ
はl	ひ
は;	は
はn	へん
はm	ほん
は,	ふん
は.	ひん
は/	はん
るu	りょ
るi	りゅ
るo	りゃ
るh	れ
るj	ろ
るk	る
るl	り
る;	ら
るn	れん
るm	ろん
る,	るん
る.	りん
る/	らん
まu	みょ
まi	みゅ
まo	みゃ
まh	め
まj	も
まk	む
まl	み
ま;	ま
まn	めん
まm	もん
ま,	むん
ま.	みん
ま/	まん
わu	ぴょ
わi	ぴゅ
わo	ぴゃ
わh	ぺ
わj	ぽ
わk	ぷ
わl	ぴ
わ;	ぱ
わn	ぺん
わm	ぽん
わ,	ぷん
わ.	ぴん
わ/	ぱん
てy	『』
てu	「」
てi	（）
てo	【】
てp	〈〉
てj	・
てk	…
てl	／
て;	《》
て,	，
て.	．
に9	ゐ
にy	ヶ
にu	ょ
にi	ゅ
にo	ゃ
にp	ゎ
にh	ぇ
にj	ぉ
にk	ぅ
にl	ぃ
に;	ぁ
にn	ゑ
に,	、
に.	。
に/	ヵ
が7	ぐぉ
が9	ぐぃ
が0	ぐゎ
がy	ぐぇ
がu	ぎょ
がi	ぎゅ
がo	ぎゃ
がp	ぐぁ
がh	げ
がj	ご
がk	ぐ
がl	ぎ
が;	が
がn	げん
がm	ごん
が,	ぐん
が.	ぎん
が/	がん
じ9	ずぃ
じy	じぇ
じu	じょ
じi	じゅ
じo	じゃ
じh	ぜ
じj	ぞ
じk	ず
じl	じ
じ;	ざ
じn	ぜん
じm	ぞん
じ,	ずん
じ.	じん
じ/	ざん
で8	どぅ
で9	でぃ
でy	ぢぇ
でu	ぢょ
でi	でゅ
でo	ぢゃ
でh	で
でj	ど
でk	づ
でl	ぢ
で;	だ
でn	でん
でm	どん
で,	づん
で.	ぢん
で/	だん
ば7	ヴォ
ば8	ヴュ
ば9	ヴィ
ばy	ヴェ
ばu	びょ
ばi	びゅ
ばo	びゃ
ばp	ヴァ
ばh	べ
ばj	ぼ
ばk	ぶ
ばl	び
ば;	ば
ばn	べん
ばm	ぼん
ば,	ぶん
ば.	びん
ば/	ばん
