# http://jisx6004.client.jp/tsuki.html
# 単打面
q		そ
w		こ
e		し
r		て
t	ょ
y		つ
u	ん
i	い
o	の
p	り
@		ち
a		は
s		か
d		d
f		と
g		た
h		く
j	う
k		k
l	゛
;		き
:	れ
z		す
x		け
c	に
v	な
b		さ
n	っ
m	る
,	、
.	。
/	゜
\	・
# シフト面
dq	ぁ
dw		ひ
de		ほ
dr		ふ
dt	め
dy	ぬ
du	え
di	み
do	や
dp	ぇ
d@	「
da	ぃ
ds	を
dd	ら
df	あ
dg	よ
dh	ま
dj	お
dk	も
dl	わ
d;	ゆ
d:	」
dz	ぅ
dx		へ
dc		せ
dv	ゅ
db	ゃ
dn	む
dm	ろ
d,	ね
d.	ー
d/	ぉ
# シフト面 (d と k のシフトとしての働きは同一)
kq	ぁ
kw		ひ
ke		ほ
kr		ふ
kt	め
ky	ぬ
ku	え
ki	み
ko	や
kp	ぇ
k@	「
ka	ぃ
ks	を
kd	ら
kf	あ
kg	よ
kh	ま
kj	お
kk	も
kl	わ
k;	ゆ
k:	」
kz	ぅ
kx		へ
kc		せ
kv	ゅ
kb	ゃ
kn	む
km	ろ
k,	ね
k.	ー
k/	ぉ
# 濁音
かl	が
きl	ぎ
くl	ぐ
けl	げ
こl	ご
さl	ざ
しl	じ
すl	ず
せl	ぜ
そl	ぞ
たl	だ
ちl	ぢ
つl	づ
てl	で
とl	ど
はl	ば
ひl	び
ふl	ぶ
へl	べ
ほl	ぼ
# 半濁音
は/	ぱ
ひ/	ぴ
ふ/	ぷ
へ/	ぺ
ほ/	ぽ
