1		1
1{!}	1
2		2
2{!}	2
3		3
3{!}	3
4		4
4{!}	4
5		5
5{!}	5
7		7
7{!}	7
8		8
8{!}	8
9		9
9{!}	9
0		0
0{!}	0
-		-
-{!}	-
q		ー
ー{!}	ー
w		に
に{!}	に
e		は
は{!}	は
r		、
、{!}	、
t		ち
ち{!}	ち
y		ぐ
ぐ{!}	ぐ
u		ば
ば{!}	ば
i		こ
こ{!}	こ
o		が
が{!}	が
p		ひ
ひ{!}	ひ
a		の
の{!}	の
s		と
と{!}	と
d		か
か{!}	か
f		ん
ん{!}	ん
g		っ
っ{!}	っ
h		く
く{!}	く
j		う
う{!}	う
k		い
い{!}	い
l		し
し{!}	し
;		な
な{!}	な
z		す
す{!}	す
x		ま
ま{!}	ま
c		き
き{!}	き
v		る
る{!}	る
b		つ
つ{!}	つ
n		て
て{!}	て
m		た
た{!}	た
,		で
で{!}	で
.		。
。{!}	。
/		ぶ
ぶ{!}	ぶ
かk	れ
いd	れ
かy	うぃ
ぐd	うぃ
かu	ぱ
ばd	ぱ
かi	よ
こd	よ
かo	み
がd	み
かp	うぇ
ひd	うぇ
かh	へ
くd	へ
かj	あ
うd	あ
かl	お
しd	お
か;	え
なd	え
かn	せ
てd	せ
かm	ね
たd	ね
か,	べ
でd	べ
か.	ぷ
。d	ぷ
か/	ゔ
ぶd	ゔ
いq	ふぁ
ーk	ふぁ
いw	ご
にk	ご
いe	ふ
はk	ふ
いr	ふぃ
、k	ふぃ
いt	ふぇ
ちk	ふぇ
いa	ほ
のk	ほ
いs	じ
とk	じ
いf	も
んk	も
いg	ゆ
っk	ゆ
いz	づ
すk	づ
いx	ぞ
まk	ぞ
いc	ぼ
きk	ぼ
いv	む
るk	む
いb	ふぉ
つk	ふぉ
い1	ぁ
1k	ぁ
い2	ぃ
2k	ぃ
い3	ぅ
3k	ぅ
い4	ぇ
4k	ぇ
い5	ぉ
5k	ぉ
とl	さ
しs	さ
とy	しぇ
ぐs	しぇ
とu	ぺ
ばs	ぺ
とi	ど
こs	ど
とo	や
がs	や
とp	じぇ
ひs	じぇ
とh	び
くs	び
とj	ら
うs	ら
と;	そ
なs	そ
とn	わ
てs	わ
とm	だ
たs	だ
と,	ぴ
でs	ぴ
と.	ぽ
。s	ぽ
と/	ちぇ
ぶs	ちぇ
しq	ぢ
ーl	ぢ
しw	め
にl	め
しe	け
はl	け
しr	てぃ
、l	てぃ
しt	でぃ
ちl	でぃ
しa	を
のl	を
しf	り
んl	り
しg	ず
っl	ず
しz	ぜ
すl	ぜ
しx	ざ
まl	ざ
しc	ぎ
きl	ぎ
しv	ろ
るl	ろ
しb	ぬ
つl	ぬ
し1	ゃ
1l	ゃ
し2	みゃ
2l	みゃ
し3	みゅ
3l	みゅ
し4	みょ
4l	みょ
し5	ゎ
5l	ゎ
こq	ひゅ
ーi	ひゅ
こw	しゅ
にi	しゅ
こe	しょ
はi	しょ
こr	きゅ
、i	きゅ
こt	ちゅ
ちi	ちゅ
こa	ひょ
のi	ひょ
こf	きょ
んi	きょ
こg	ちょ
っi	ちょ
こz	ひゃ
すi	ひゃ
こc	しゃ
きi	しゃ
こv	きゃ
るi	きゃ
こb	ちゃ
つi	ちゃ
こ1	ゅ
1i	ゅ
こ2	びゃ
2i	びゃ
こ3	びゅ
3i	びゅ
こ4	びょ
4i	びょ
がq	りゅ
ーo	りゅ
がw	じゅ
にo	じゅ
がe	じょ
はo	じょ
がr	ぎゅ
、o	ぎゅ
がt	にゅ
ちo	にゅ
がa	りょ
のo	りょ
がf	ぎょ
んo	ぎょ
がg	にょ
っo	にょ
がz	りゃ
すo	りゃ
がc	じゃ
きo	じゃ
がv	ぎゃ
るo	ぎゃ
がb	にゃ
つo	にゃ
が1	ょ
1o	ょ
が2	ぴゃ
2o	ぴゃ
が3	ぴゅ
3o	ぴゅ
が4	ぴょ
4o	ぴょ
がp	げ
ひo	げ
こp	うぉ
ひi	うぉ
ばh	/
くu	/
くj	()
うh	()
うn	?
てj	?
、f	・
んr	・
、g	・
っr	・
んg	「」
っf	「」
んb	!
つf	!
んv	!
るf	!
す.	…
。z	…
すh	←
くz	←
すj	↓
うz	↓
すn	↑
てz	↑
すm	→
たz	→
と7	，
7s	，
か7	．
7d	．
と8	（
8s	（
か8	）
8d	）
と9	「
9s	「
か9	」
9d	」
と0	：
0s	：
か0	；
0d	；
と-	＊
-s	＊
か-	＠
-d	＠
